latitude,longitude,neo_altitude,num_satellites,hdc_temperature,bmp_temperature,humidity,pressure,mpu_altitude,time
-33.36850166666667,-70.69026,537.5,08,28.23,29.52,48.49,959.23,0.01,"15/02, 15:54:02"
-33.368575,-70.69025166666667,550.2,06,28.27,29.6,48.49,959.26,-0.0,"15/02, 15:54:13"
-33.368563333333334,-70.69022333333334,546.0,07,28.23,29.63,48.58,959.25,0.03,"15/02, 15:54:23"
-33.36854666666667,-70.69023166666666,546.4,07,28.2,29.58,48.61,959.22,0.08,"15/02, 15:54:33"
-33.368541666666665,-70.69024333333333,544.0,07,28.2,29.56,48.71,959.23,0.0,"15/02, 15:54:43"
-33.36850166666667,-70.69024833333333,541.5,07,28.26,29.55,48.68,959.27,-0.0,"15/02, 15:54:53"
-33.36853,-70.69008333333333,578.3,07,28.26,29.57,48.58,959.28,-0.0,"15/02, 15:55:03"
-33.36834833333333,-70.69029166666667,526.8,06,28.23,29.53,48.68,959.27,0.06,"15/02, 15:55:40"
-33.36832666666667,-70.69034166666667,523.1,05,28.23,29.54,48.68,959.27,0.0,"15/02, 15:56:05"
-33.36836666666667,-70.690375,517.5,06,28.25,29.61,48.78,959.25,0.0,"15/02, 15:56:15"
-33.36846166666667,-70.69065333333333,463.8,05,28.29,29.66,48.88,959.21,0.08,"15/02, 15:56:25"
-33.368186666666666,-70.69027333333334,436.5,04,28.47,29.79,48.66,959.23,-0.0,"15/02, 15:57:17"
-33.3682,-70.69021333333333,453.5,04,28.41,29.82,48.39,959.24,0.0,"15/02, 15:57:28"
-33.368203333333334,-70.69014666666666,457.9,04,28.32,29.73,48.19,959.22,0.02,"15/02, 15:57:38"
-33.368295,-70.69013166666667,499.3,05,28.33,29.67,48.28,959.24,-0.0,"15/02, 15:57:49"
-33.36870666666667,-70.689935,594.6,05,28.37,29.68,48.58,959.25,0.0,"15/02, 15:57:58"
-33.368883333333336,-70.68975666666667,633.4,06,28.32,29.69,48.49,959.25,0.0,"15/02, 15:58:09"
-33.368961666666664,-70.689775,620.0,08,28.32,29.62,48.39,959.28,0.04,"15/02, 15:58:20"
-33.36879833333333,-70.68988833333333,610.6,07,28.35,29.68,48.49,959.26,0.0,"15/02, 15:58:31"
-33.368871666666664,-70.68980333333333,623.3,05,28.27,29.63,48.19,959.26,-0.0,"15/02, 15:58:42"
-33.368901666666666,-70.68981666666667,619.2,07,28.27,29.63,48.28,959.34,0.06,"15/02, 15:58:52"
-33.36878333333333,-70.68986833333334,597.4,05,28.11,29.4,48.11,959.29,-0.0,"15/02, 15:59:01"
-33.368658333333336,-70.69004666666666,555.4,06,28.11,29.45,48.02,959.27,-0.0,"15/02, 15:59:11"
-33.36845666666667,-70.69014,543.5,05,28.12,29.45,48.21,959.24,0.0,"15/02, 15:59:21"
-33.36830333333333,-70.690185,538.0,06,28.15,29.51,48.31,959.24,0.03,"15/02, 15:59:31"
-33.368405,-70.69020333333333,540.5,06,28.19,29.54,48.31,959.23,0.1,"15/02, 15:59:41"
-33.368318333333335,-70.69039,495.5,03,28.04,29.4,48.11,959.24,0.0,"15/02, 15:59:51"
-33.368105,-70.69052833333333,477.3,06,27.93,29.21,48.24,959.22,0.0,"15/02, 16:00:01"
-33.368225,-70.69041666666666,494.8,07,27.96,29.2,48.51,959.22,-0.0,"15/02, 16:00:11"
-33.36828333333333,-70.69034666666667,511.2,06,28.04,29.31,48.61,959.25,-0.05,"15/02, 16:00:21"
-33.368408333333335,-70.69038833333333,510.7,07,28.02,29.31,48.51,959.23,-0.0,"15/02, 16:00:31"
-33.368278333333336,-70.69040833333334,499.7,05,28.02,29.31,48.51,959.2,0.0,"15/02, 16:00:42"
-33.368388333333336,-70.69027333333334,532.9,06,27.98,29.28,48.51,959.23,0.0,"15/02, 16:00:52"
-33.368496666666665,-70.69018333333334,545.0,06,28.07,29.37,48.61,959.22,0.03,"15/02, 16:01:02"
-33.36852,-70.69012333333333,549.6,06,28.07,29.38,48.61,959.23,-0.0,"15/02, 16:01:12"
-33.36851,-70.69018666666666,538.2,05,28.11,29.44,48.61,959.23,-0.0,"15/02, 16:01:22"
-33.368545,-70.69020666666667,543.8,06,28.2,29.54,48.61,959.23,-0.0,"15/02, 16:01:32"
-33.36856,-70.69023833333333,546.2,06,28.2,29.57,48.51,959.24,-0.0,"15/02, 16:01:42"
-33.36860333333333,-70.690225,542.4,06,28.2,29.53,48.41,959.24,0.07,"15/02, 16:01:52"
-33.36852666666667,-70.69024333333333,538.8,06,28.3,29.64,48.39,959.25,0.0,"15/02, 16:02:02"
-33.368496666666665,-70.69023,539.0,06,28.38,29.73,48.19,959.24,-0.0,"15/02, 16:02:12"
-33.368455,-70.690245,536.7,06,28.35,29.71,48.28,959.21,-0.0,"15/02, 16:02:22"
-33.36844833333333,-70.69024666666667,532.3,06,28.38,29.72,50.66,959.22,0.0,"15/02, 16:02:32"
-33.36846666666667,-70.69024333333333,540.0,06,28.23,29.59,50.46,959.21,-0.0,"15/02, 16:02:42"
-33.36852,-70.69025166666667,534.6,05,28.3,29.64,50.76,959.18,0.0,"15/02, 16:02:52"
-33.36847,-70.690245,535.3,07,28.29,29.72,49.87,959.2,0.0,"15/02, 16:03:02"
-33.368401666666664,-70.69026833333334,528.5,06,28.33,29.74,48.39,959.2,0.04,"15/02, 16:03:12"
-33.36845666666667,-70.69029833333333,521.3,06,28.44,29.75,49.77,959.2,0.03,"15/02, 16:03:22"
-33.368435,-70.69026166666667,526.7,06,28.41,29.75,49.18,959.17,0.0,"15/02, 16:03:32"
-33.368383333333334,-70.690235,523.3,06,28.42,29.8,48.88,959.18,0.0,"15/02, 16:03:43"
